Date,B3SA3.SA,BBDC4.SA,BBSE3.SA,BMOB3.SA,INTB3.SA,ITSA4.SA,LWSA3.SA,MLAS3.SA,PETR4.SA,POSI3.SA,PSSA3.SA,TOTS3.SA,VALE3.SA,^BVSP
2015-09-29,31294800,26898886,5068900,,,26842772,,,52387600,70700,1036600,2368586,7694600,2960700.0
2015-09-30,52498800,36160252,8609200,,,40222351,,,107779500,24600,1343800,3537663,6672100,4831200.0
2015-10-01,35781600,21649467,9785000,,,25970565,,,69296500,33600,653600,4446108,6028900,3773200.0
2015-10-02,31573500,27506460,6134300,,,36848734,,,88891400,26900,712600,1029269,7116900,4001300.0
2015-10-05,25147800,26285784,4739900,,,39644231,,,68350300,24100,1813000,2427642,3574800,3323700.0
2015-10-06,22411500,22642250,5048600,,,31621239,,,81259300,40400,1328800,2527677,4558400,3370800.0
2015-10-07,31295400,35821601,11045000,,,60216243,,,116610600,34200,1274800,2221246,9670300,6060700.0
2015-10-08,19333800,27302164,6502100,,,38585966,,,68670000,48400,952800,966296,5880600,3585000.0
2015-10-09,32949000,26861470,5753100,,,39827895,,,71885200,45500,1174600,1395962,12008500,4551200.0
2015-10-13,41429400,41135221,6396700,,,46012648,,,56100600,45400,1317400,1248923,8803000,4221100.0
2015-10-14,56097600,51218025,7993600,,,64010805,,,75339100,21400,1315400,1639118,13342500,6141700.0
2015-10-15,16141200,20802094,6500700,,,35082140,,,61444100,29500,917000,914471,5301300,3653000.0
2015-10-16,24971700,29063450,4071400,,,46198067,,,42963800,14600,1412800,2464402,5306400,3537700.0
2015-10-19,15406800,30396585,2289300,,,28285599,,,40096200,24500,624800,1483944,6646700,3133600.0
2015-10-20,26403300,28517100,3535900,,,35838180,,,47938700,25100,1012200,1356189,4110400,3297000.0
2015-10-21,16506900,20449837,4323600,,,26338692,,,45394400,42800,1161200,1208548,3708700,2957300.0
2015-10-22,52311000,22130127,2951200,,,25792007,,,46174500,73200,1232000,2255595,7244800,3124100.0
2015-10-23,58668300,21532969,4195300,,,32245634,,,45715300,22900,1173000,2713885,8380100,3592300.0
2015-10-26,20624700,23713477,3347200,,,22482537,,,35069500,27600,1065800,1467975,5048400,2451400.0
2015-10-27,24770100,25977957,4084000,,,23727019,,,44085700,31500,1202600,1172692,7572600,3443800.0
2015-10-28,1564800,3599953,167800,,,3848495,,,4630900,13600,71000,123536,746800,4085200.0
2015-10-29,14820000,31270957,4374200,,,30336066,,,41336300,30600,1510000,4637740,5896100,3082000.0
2015-10-30,22705500,29438879,7543400,,,28121083,,,36951300,32100,2541400,2651213,6156500,3231400.0
2015-11-03,82421100,36077768,7355500,,,46113495,,,60306200,39400,1392600,3784434,8037500,4603800.0
2015-11-04,44352900,36021220,3756000,,,34615878,,,55661500,45300,2660000,3293301,7193100,3627200.0
2015-11-05,16190100,24549158,4547200,,,20294361,,,92690300,36900,1578200,1122374,5915900,3189000.0
2015-11-06,37511400,30273072,3442100,,,18071878,,,39680600,84500,1224000,642088,10096900,3091100.0
2015-11-09,21161100,31971644,2512700,,,20101601,,,36340400,27800,755000,1303159,2982900,2278500.0
2015-11-10,19486200,23922663,3075700,,,23744093,,,34554300,128200,725200,796057,4677100,2401800.0
2015-11-11,30846300,24212420,5722100,,,34961825,,,44596400,82200,1319400,2710269,3983500,3071700.0
2015-11-12,35934600,25191597,6201600,,,21700806,,,41641400,44700,1504800,1254648,5643200,3154200.0
2015-11-13,44784600,28948227,6535400,,,26650969,,,67000600,21300,890800,1301954,3792600,3517200.0
2015-11-16,39994500,35215939,3397900,,,30589622,,,56587800,51500,1400000,1549328,4946300,3144900.0
2015-11-17,44406600,34828393,5052300,,,39875607,,,52072800,66500,1134000,1053977,4607600,3341700.0
2015-11-18,42590700,24426708,2254900,,,32690833,,,38137700,113200,1401000,1894025,6100200,3965500.0
2015-11-19,45818700,26817252,2824900,,,61317751,,,51878600,22800,974000,2752151,4043700,4069100.0
2015-11-23,26338500,32983560,2731300,,,32709343,,,47415800,20900,1492600,2073906,5780800,3277600.0
2015-11-24,28504200,22931794,3255800,,,45977064,,,63001700,36000,702600,854510,4629700,3445700.0
2015-11-25,50548800,36694059,4876000,,,55234804,,,54732800,108500,744400,1079588,5048900,3976000.0
2015-11-26,22389300,23376101,2162900,,,25993065,,,21697100,61900,543400,331138,3880800,2288300.0
2015-11-27,31810800,29661245,3455500,,,41538161,,,38334200,40600,627400,1400180,5964400,3031900.0
2015-11-30,86900400,70247991,7560900,,,60121938,,,72764300,55000,1920800,4627495,13658200,7164800.0
2015-12-01,44334300,29841732,4503300,,,42954499,,,35865600,45000,1396200,2545755,6932100,4176300.0
2015-12-02,50166000,34518653,5669200,,,50166081,,,47713500,104500,1159000,819257,9802500,4179400.0
2015-12-03,39812700,46562575,6377300,,,60629528,,,76680900,33900,1518600,1392647,7206800,4421500.0
2015-12-04,47070600,27758164,4565200,,,31160721,,,63662600,36800,1695200,1115142,6375000,3520900.0
2015-12-07,29971500,17966604,2618700,,,31357151,,,47395000,49800,1689800,724044,3124200,2853300.0
2015-12-08,22251000,32786279,3705800,,,31050459,,,46590500,50000,802200,1955190,7863500,3203200.0
2015-12-09,43242300,51690181,6390600,,,52787966,,,82102800,35500,811200,1759340,7322900,4446400.0
2015-12-10,30160500,33822004,5419500,,,27209303,,,43458400,33900,634800,3688919,9923400,3638300.0
2015-12-11,39437400,35564583,3461800,,,26117050,,,50750600,25300,1204200,2170325,8390700,3281900.0
2015-12-14,20031000,28639551,2949400,,,21148536,,,33538000,129400,441000,957859,5694800,2481600.0
2015-12-15,23567700,19151991,6591000,,,19994849,,,34188900,40400,874400,1922950,6886800,2558500.0
2015-12-16,44964600,55544602,5010700,,,41733633,,,39840300,37500,984400,1032282,4472100,3324300.0
2015-12-17,48750900,38863513,3928200,,,29179667,,,43789300,87400,1253600,1702995,5814700,3028800.0
2015-12-18,40751700,48042395,6692500,,,44378656,,,60061600,42600,1355800,1793990,10987200,4564700.0
2015-12-21,29202900,26976267,5812700,,,39597796,,,54032100,45600,1230800,2700326,6942100,3452900.0
2015-12-22,16921800,19094167,7138500,,,21122526,,,40463400,34400,753600,1245609,5677800,2577000.0
2015-12-23,15818100,14549901,3787500,,,17076962,,,38789700,63700,527200,1029571,7174800,2501300.0
2015-12-28,15461400,13078797,2886100,,,16883724,,,28617600,51400,510400,1096160,3095800,1793200.0
2015-12-29,16468800,11689538,3549600,,,15898542,,,22441300,33000,432600,957257,2890100,1675900.0
2015-12-30,21960900,17977234,3582100,,,25353351,,,30041600,30100,793800,870781,5226600,2679200.0
2016-01-04,34184100,22798501,6505000,,,36259444,,,45962100,30100,670600,1464660,4587900,2976300.0
2016-01-05,32522700,16877732,6276000,,,19849003,,,29446700,28600,859800,1349259,2693500,2557200.0
2016-01-06,21549600,31314962,4376300,,,43098112,,,67507200,82400,1036600,1337508,6758900,3935900.0
2016-01-07,43765500,43702638,5940300,,,29562314,,,57387900,1819700,941800,1196797,6450400,4032300.0
2016-01-08,27389700,26191820,4878400,,,18633083,,,52100300,37400,1403400,1669249,4429400,3221600.0
2016-01-11,41600400,23604420,4818400,,,29809328,,,51334000,22000,1614400,2458677,5658100,3086400.0
2016-01-12,34346100,24265567,4969100,,,30856422,,,81627800,38500,1865200,1286285,7581600,3383700.0
2016-01-13,19974000,26244542,4123100,,,23063848,,,70874300,45500,1189600,1449896,9208300,3569600.0
2016-01-14,33691800,26951607,3603600,,,40085281,,,76854200,38400,658600,1286888,11080500,3868600.0
2016-01-15,40714800,34419162,8038700,,,33081937,,,75571500,40100,1448600,1027461,13283400,4076400.0
2016-01-18,17318400,19736394,2733900,,,27908696,,,46407200,27700,553000,605931,3477600,2161200.0
2016-01-19,27198600,20056125,4163600,,,17865076,,,66529300,35900,2122400,1711130,10965000,3044900.0
2016-01-20,35180400,34352410,7307300,,,33559369,,,92914100,41700,2295600,1578856,10928000,3958400.0
2016-01-21,33774000,31875342,11771000,,,22038295,,,87455300,51600,1892600,2232695,10638200,3773600.0
2016-01-22,43074300,28205447,6843600,,,24999904,,,100576600,102000,3603600,1534262,14684700,4197500.0
2016-01-26,55701300,24044688,8309100,,,35924986,,,71933300,92000,2322000,992208,7220500,3607000.0
