Date,ALSO3.SA,BBDC4.SA,BBSE3.SA,BMOB3.SA,INTB3.SA,ITSA4.SA,LJQQ3.SA,LWSA3.SA,MLAS3.SA,POSI3.SA,PSSA3.SA,SQIA3.SA,TOTS3.SA
2018-11-21,,21664899,4514700,,,23609338,,,,167300,1478600,,3899534
2018-11-22,,10421570,2101000,,,9453325,,,,108000,751800,,944903
2018-11-23,,16182191,3499600,,,16740159,,,,234300,982600,,727961
2018-11-26,,25024769,2864800,,,24773481,,,,152100,1166200,,6639935
2018-11-27,,20574331,3437900,,,28484433,,,,122500,1264200,,2748536
2018-11-28,,27309245,4423000,,,23805589,,,,87600,1311800,,2999224
2018-11-29,,22266086,3136000,,,31871925,,,,186400,1247000,,3192966
2018-11-30,,25225537,11119900,,,53071359,,,,113200,1627400,,1367940
2018-12-03,,36888452,3684200,,,31501957,,,,108300,1598000,,2790418
2018-12-04,,29335772,3801900,,,35144391,,,,96800,1905600,,2474044
2018-12-05,,9515638,2654100,,,26302877,,,,140200,1820200,,1355285
2018-12-06,,18354223,5444400,,,32091758,,,,78600,1806400,,1520704
2018-12-07,,17569519,8488700,,,34072216,,,,131400,1568400,,860235
2018-12-10,,30698663,3686300,,,28657234,,,,79400,1387400,,1154312
2018-12-11,,26426312,4033600,,,38023831,,,,45600,965200,,1746082
2018-12-12,,38736731,7142500,,,31969134,,,,64300,1090400,,1064522
2018-12-13,,13205809,6923700,,,20691643,,,,75700,1502800,,1363420
2018-12-14,,19249294,2524600,,,20267175,,,,80700,1086800,,1029269
2018-12-17,,18087171,3138100,,,20916323,,,,50000,602600,,1289600
2018-12-18,,14721072,3164500,,,22651140,,,,43500,736800,,1350163
2018-12-19,,16838800,3449900,,,23804017,,,,65600,743400,,1381499
2018-12-20,,23420542,3904400,,,22468383,,,,77400,690200,,3135114
2018-12-21,,36331827,5023600,,,62388304,,,,42300,1103600,,1931387
2018-12-26,,21125046,3906700,,,25237907,,,,43600,580800,,666193
2018-12-27,,17595394,2063700,,,18372396,,,,108700,596800,,573992
2018-12-28,,19362695,3366600,,,25846835,,,,67000,973000,,1035898
2019-01-02,,37247502,4663200,,,32965324,,,,309800,960800,,2399620
2019-01-03,,31131823,3517600,,,49642992,,,,279100,1287200,,2305913
2019-01-04,,23808981,3549900,,,42859755,,,,83300,2483000,,1555354
