Country Code,Country Name,ano,abertura_comercial_pct_pib,acesso_eletricidade_pct,celulares_por_100,crescimento_pib_pct,gasto_pesquisa_desenvolvimento_pct_pib,gasto_publico_educacao_pct_pib,pib_per_capita_usd,usuarios_internet_pct
FRA,France,2019,66.4289771741449,100.0,109.600780374596,2.02744646419237,2.19668,5.36638021469116,40408.2848574751,83.3397440866883
FRA,France,2020,58.8388907240647,100.0,110.387215275645,-7.44064589948231,2.2742,5.65871000289917,39169.8606000707,84.70639801
FRA,France,2021,63.788482630872,100.0,113.952719366702,6.88233783360239,2.21278,5.41743993759155,43725.0999521245,86.09548575
FRA,France,2022,75.9630077981996,100.0,115.950519429629,2.71676264185913,2.21937,5.32434988021851,40988.6396406579,85.33331734
FRA,France,2023,70.6261450610225,100.0,116.687800394775,1.43921494437743,2.17832,,44700.1384177544,86.83635789
FRA,France,2024,68.1081875443744,,,1.19046798275883,,,46103.0840855884,88.65381638
GBR,United Kingdom,2015,57.125044605439,100.0,121.211739725133,2.14040560033371,2.27566,5.55453014373779,45255.3449216209,92.0002998740234
GBR,United Kingdom,2016,59.8395315138259,100.0,119.786558760596,2.20652020635357,2.32051,5.42795991897583,41257.9085545556,94.7758006318882
GBR,United Kingdom,2017,63.1899245764158,100.0,119.206737402819,3.02322219840339,2.32602,5.45254993438721,40916.8115070354,90.4245504868553
GBR,United Kingdom,2018,64.9097721959201,100.0,118.184381927412,1.55133095078786,2.70889,5.20438003540039,43702.9976303165,90.692008988783
GBR,United Kingdom,2019,65.0035664177054,100.0,120.250108782533,1.25629899760824,2.6707,5.26116991043091,43158.7411267323,92.5166285497138
GBR,United Kingdom,2020,59.1598893030611,100.0,117.304850715261,-10.047896637362,2.93993,5.43936014175415,40812.6794663879,94.81820132
GBR,United Kingdom,2021,58.53838629291,100.0,117.887430294308,8.5431118453255,2.89968,5.90681982040405,47691.3768799404,96.19650269
GBR,United Kingdom,2022,69.1989264413981,100.0,119.833999505569,5.14970388522993,2.75224,,47057.043229179,95.46530151
GBR,United Kingdom,2023,64.9923841747803,100.0,122.781542240418,0.271650048355255,2.67614,,49944.4702124201,95.44719696
GBR,United Kingdom,2024,62.8401605267118,,121.643331373201,1.1264226705118,,,53246.3676145108,95.4720993
IND,India,2015,41.9229138658647,88.0,75.379332347226,7.99625378571471,0.6931,4.1145601272583,1583.99815907985,14.89999962
IND,India,2016,40.082485713276,89.6,83.917838213735,8.25630550179086,0.66984,4.25406980514526,1707.50892912243,16.5
IND,India,2017,40.7424969545225,91.8,85.9703537817688,6.79538341897911,0.66603,4.30543994903565,1950.10468280866,18.20000076
IND,India,2018,43.6169693323889,95.7,85.5500756367908,6.45385134497769,0.66001,4.36374998092651,1966.25455171679,20.0813000379384
IND,India,2019,39.9054035306442,95.9,82.898144918237,3.87143694070356,0.65942,3.89732003211975,2041.42863698585,29.52350044
IND,India,2020,37.7581053292768,96.5,82.2540479927426,-5.77772470686801,0.64558,4.29335021972656,1907.04251637669,43.40544313
IND,India,2021,45.4230887840446,99.6,81.603974311212,9.68959249192875,,4.62949991226196,2239.61384367482,49.2580986
IND,India,2022,50.0752701498882,99.2,80.1818007717416,7.60936497768895,,4.09865814174589,2347.44829434623,55.9
IND,India,2023,44.9928422877561,99.5,80.5631998772888,9.19075493028345,,,2530.12031278204,60.25230026
