pais,pais_nome,ano,valor
PAK,Pakistan,2017,25.472035002344
PAK,Pakistan,2016,24.7015780480573
PAK,Pakistan,2015,26.6881860172247
PAN,Panama,2024,83.6737787798304
PAN,Panama,2023,88.3489105288611
PAN,Panama,2022,93.4752688168442
PAN,Panama,2021,80.1334636057057
PAN,Panama,2020,68.7004234799646
PAN,Panama,2019,80.4286505707227
PAN,Panama,2018,86.1309615270001
PAN,Panama,2017,84.0475372059131
PAN,Panama,2016,84.3959718486228
PAN,Panama,2015,96.5791573893461
PER,Peru,2024,51.4758878672647
PER,Peru,2023,50.7851842068664
PER,Peru,2022,57.2969759649721
PER,Peru,2021,55.427249365522
PER,Peru,2020,44.245967197744
PER,Peru,2019,46.9435053754409
PER,Peru,2018,48.631470171736
PER,Peru,2017,47.5135503619971
PER,Peru,2016,45.3888411964154
PER,Peru,2015,45.1627686891148
PHL,Philippines,2024,65.8854725286968
PHL,Philippines,2023,67.4199693173966
PHL,Philippines,2022,72.4296836107599
PHL,Philippines,2021,63.4846098136712
PHL,Philippines,2020,58.1695603022281
PHL,Philippines,2019,68.8418422595678
PHL,Philippines,2018,72.1633982990273
PHL,Philippines,2017,68.1683697426727
PHL,Philippines,2016,61.7760657653871
PHL,Philippines,2015,59.1415921053094
POL,Poland,2024,100.359442847164
POL,Poland,2023,110.024935041815
POL,Poland,2022,123.021332860345
POL,Poland,2021,110.874283021945
POL,Poland,2020,99.2590912303436
POL,Poland,2019,101.581033817373
POL,Poland,2018,102.442462168005
POL,Poland,2017,100.56589524628
POL,Poland,2016,96.8659028060623
POL,Poland,2015,92.2554272741942
PRT,Portugal,2024,89.696408854026
PRT,Portugal,2023,93.1358537072038
PRT,Portugal,2022,101.364146479435
PRT,Portugal,2021,85.8735452148975
PRT,Portugal,2020,76.5086407209215
PRT,Portugal,2019,86.7709889083586
PRT,Portugal,2018,86.7356954918399
PRT,Portugal,2017,84.8077923069539
PRT,Portugal,2016,79.5223464844001
PRT,Portugal,2015,80.6346756266443
ROU,Romania,2024,77.2149837939003
ROU,Romania,2023,83.3753324062231
ROU,Romania,2022,93.9496509383447
ROU,Romania,2021,87.0711965460145
ROU,Romania,2020,78.3616463562709
ROU,Romania,2019,84.9063630584793
ROU,Romania,2018,87.0911701095809
ROU,Romania,2017,87.1560645667801
ROU,Romania,2016,85.8925282906884
ROU,Romania,2015,83.5205767017155
RUS,Russian Federation,2024,39.5081647660396
RUS,Russian Federation,2023,40.8343264105273
RUS,Russian Federation,2022,42.7827864294811
RUS,Russian Federation,2021,50.5861954621752
RUS,Russian Federation,2020,45.9669082029127
RUS,Russian Federation,2019,49.2287536619033
RUS,Russian Federation,2018,51.5809003703964
RUS,Russian Federation,2017,46.8765243371311
RUS,Russian Federation,2016,46.5181198396096
RUS,Russian Federation,2015,49.3593493116887
SAU,Saudi Arabia,2024,54.6787052668733
SAU,Saudi Arabia,2023,54.1690118283683
SAU,Saudi Arabia,2022,56.8241647749332
SAU,Saudi Arabia,2021,50.8839263398787
SAU,Saudi Arabia,2020,47.533159225048
SAU,Saudi Arabia,2019,56.7938204886513
SAU,Saudi Arabia,2018,59.1029104697141
SAU,Saudi Arabia,2017,59.5319791578229
SAU,Saudi Arabia,2016,57.9216635110364
SAU,Saudi Arabia,2015,67.1052692300592
SGP,Singapore,2024,322.371427934716
SGP,Singapore,2023,325.69322405378
SGP,Singapore,2022,332.34956775484
SGP,Singapore,2021,329.161383683762
SGP,Singapore,2020,332.040805481913
SGP,Singapore,2019,324.394985115301
SGP,Singapore,2018,326.59658728675
SGP,Singapore,2017,316.794409287568
SGP,Singapore,2016,302.839656046574
SGP,Singapore,2015,329.471398940262
SLV,El Salvador,2024,84.6596461582312
SLV,El Salvador,2023,81.7147723425988
SLV,El Salvador,2022,88.7011093776867
SLV,El Salvador,2021,81.8450759800765
SLV,El Salvador,2020,66.4595069497083
SLV,El Salvador,2019,76.0420130991468
SLV,El Salvador,2018,75.6336168879956
SLV,El Salvador,2017,74.3046511916519
SLV,El Salvador,2016,72.8190933731491
SLV,El Salvador,2015,76.5602707370519
SVK,Slovak Republic,2024,171.212800151635
SVK,Slovak Republic,2023,181.39087235645
SVK,Slovak Republic,2022,204.056318531151
SVK,Slovak Republic,2021,181.97948448512
SVK,Slovak Republic,2020,167.534173320366
SVK,Slovak Republic,2019,183.722608631236
SVK,Slovak Republic,2018,188.732964699496
SVK,Slovak Republic,2017,186.644687399549
SVK,Slovak Republic,2016,182.757379596201
SVK,Slovak Republic,2015,179.42602289503
SVN,Slovenia,2024,155.657928684474
SVN,Slovenia,2023,160.1596693009
SVN,Slovenia,2022,186.647076274632
SVN,Slovenia,2021,161.788727511439
SVN,Slovenia,2020,147.549008584942
SVN,Slovenia,2019,160.044275685249
SVN,Slovenia,2018,162.613493975851
SVN,Slovenia,2017,158.70213584467
SVN,Slovenia,2016,148.238448080388
SVN,Slovenia,2015,147.218367714503
SWE,Sweden,2024,105.883091480464
SWE,Sweden,2023,107.619709443974
SWE,Sweden,2022,107.111751826512
SWE,Sweden,2021,91.1102374413042
SWE,Sweden,2020,84.4745958141618
SWE,Sweden,2019,92.7511390290561
SWE,Sweden,2018,90.4087142361701
SWE,Sweden,2017,86.0693088740521
SWE,Sweden,2016,83.4519478574149
SWE,Sweden,2015,84.1730765958171
THA,Thailand,2024,136.747107022451
THA,Thailand,2023,128.824114152375
THA,Thailand,2022,132.858712082871
THA,Thailand,2021,117.252944620852
THA,Thailand,2020,97.8007432465178
THA,Thailand,2019,109.689514715166
THA,Thailand,2018,120.841864730984
THA,Thailand,2017,120.891427433638
THA,Thailand,2016,120.57522728913
THA,Thailand,2015,124.839662152526
TUR,Turkiye,2024,54.5988061195916
TUR,Turkiye,2023,65.6832084738667
TUR,Turkiye,2022,79.8982722314341
TUR,Turkiye,2021,69.6088976086437
TUR,Turkiye,2020,60.389853117297
TUR,Turkiye,2019,62.5784589326239
TUR,Turkiye,2018,62.8251323851165
TUR,Turkiye,2017,56.1356585158689
TUR,Turkiye,2016,48.870183807987
TUR,Turkiye,2015,51.8749252596832
URY,Uruguay,2024,52.4649167856379
URY,Uruguay,2023,52.910987066463
URY,Uruguay,2022,61.0307951043821
URY,Uruguay,2021,58.3150410230338
URY,Uruguay,2020,47.7318733182088
URY,Uruguay,2019,49.7448341159636
URY,Uruguay,2018,47.7913104806475
